3	37.252014
4	19.967139	18.184657
5	81.819317	21.921869	35.620935
6	92.832035	30.663573	29.464029
7	108.086079	46.213710	27.596880
8	108.304470	69.450383	32.877455
9	107.450087	61.163888	36.062448
10	97.225048	67.953622	40.000105
11	86.384634	65.597865	53.985221
12	97.912621	73.099654	62.031555
13	97.965859	67.694703	73.988692
14	92.934504	71.374052	69.122980
15	83.123568	67.441664	61.315364
16	83.422562	61.080228	62.144685
17	84.721019	64.043635	67.300873
18	79.564011	57.532682	63.899599
19	85.964668	59.515670	69.217604
20	86.078417	57.006138	67.665075
21	77.245222	54.453795	59.496174
22	75.730629	46.367464	57.764906
23	79.064015	49.928021	54.617168
24	72.218499	47.815825	52.452633
25	73.466952	48.313486	48.965510
26	73.227338	45.466849	46.762310
27	73.328434	41.970127	48.901472
28	72.725542	42.752478	43.457198
29	70.666014	46.626868	43.906301
30	73.641096	44.398323	44.910609
