3	333.561329
4	306.955664	303.362870
5	284.410254	281.476398	281.894412
6	194.613430	192.441973	192.625035
7	165.266416	155.949638	159.561983
8	140.263124	141.790817	141.746805
9	127.389304	132.062461	136.318436
10	102.339021	98.684054	101.671637
11	88.463148	81.067802	88.428257
12	97.950302	81.647788	93.808921
13	97.965859	72.884427	96.064063
14	92.934504	74.993470	88.824140
15	83.123568	69.371838	75.546069
16	83.422562	61.753021	72.407404
17	84.721019	64.793717	72.015332
18	79.564011	57.456159	67.606298
19	85.964668	59.662450	72.174291
20	86.078417	57.160733	70.301450
21	77.245222	54.467673	60.536073
22	75.730629	46.367464	57.971179
23	79.064015	49.928021	54.886742
24	72.218499	47.815825	52.464421
25	73.466952	48.313486	49.117945
26	73.227338	45.466849	46.787164
27	73.328434	41.970127	48.901472
28	72.725542	42.752478	43.457198
29	70.666014	46.626868	43.906301
30	73.641096	44.398323	44.910609
