3	0.915454
4	0.810459	0.812109
5	0.643618	0.646118	0.648168
6	0.453227	0.456327	0.461427
7	0.293535	0.300385	0.308585
8	0.158042	0.165242	0.177941
9	0.119594	0.128094	0.146743
10	0.038248	0.046798	0.064447
11	0.012649	0.019449	0.042648
12	0.001150	0.007800	0.035148
13	0.000850	0.008900	0.044698
14	0.000600	0.012349	0.042748
15	0.000850	0.011299	0.046398
16	0.001400	0.013149	0.047698
17	0.000800	0.010549	0.046448
18	0.000600	0.009750	0.045098
19	0.000700	0.007700	0.042998
20	0.000750	0.007750	0.040198
21	0.001100	0.008800	0.039648
22	0.000900	0.008550	0.039748
23	0.000850	0.008350	0.038448
24	0.000900	0.006850	0.040048
25	0.001150	0.008300	0.041348
26	0.000650	0.008600	0.040098
27	0.001000	0.007950	0.041148
28	0.001200	0.008750	0.039348
29	0.000950	0.009350	0.041398
30	0.001200	0.009150	0.041848
