3	2.124187
4	0.906621	0.914582
5	0.857464	0.863521	0.868552
6	0.618873	0.622402	0.628296
7	0.563340	0.568856	0.575602
8	0.531116	0.535697	0.543973
9	0.514055	0.519066	0.530411
10	0.501040	0.505534	0.515071
11	0.538941	0.542678	0.555828
12	0.594554	0.598539	0.615504
13	0.629253	0.634364	0.658136
14	0.652409	0.660170	0.681134
15	0.703012	0.710442	0.736591
16	0.736294	0.745060	0.772090
17	0.767976	0.775543	0.804740
18	0.814648	0.822175	0.852610
19	0.854906	0.860936	0.892691
20	0.930852	0.937418	0.969110
21	0.975374	0.982951	1.014525
22	1.000450	1.008169	1.040925
23	1.037480	1.045326	1.078047
24	1.063554	1.069925	1.106927
25	1.157073	1.165415	1.205591
26	1.150841	1.160069	1.198135
27	1.216856	1.225381	1.267807
28	1.281223	1.290982	1.332102
29	1.280853	1.291713	1.334898
30	1.340191	1.350944	1.397047
