3	0.933453
4	0.810459	0.810459
5	0.628519	0.628519	0.628519
6	0.435428	0.435428	0.435428
7	0.306135	0.306135	0.306135
8	0.191540	0.191540	0.191540
9	0.150892	0.150892	0.150892
10	0.094595	0.094595	0.094595
11	0.073896	0.073896	0.073896
12	0.042948	0.042948	0.042948
13	0.032448	0.032448	0.032448
14	0.015299	0.015299	0.015299
15	0.021549	0.021549	0.021549
16	0.001300	0.001300	0.001300
17	0.001650	0.001650	0.001650
18	0.001150	0.001150	0.001150
19	0.000000	0.000000	0.000000
20	0.000300	0.000300	0.000300
21	0.000000	0.000000	0.000000
22	0.000000	0.000000	0.000000
23	0.000000	0.000000	0.000000
24	0.000000	0.000000	0.000000
25	0.000000	0.000000	0.000000
26	0.000000	0.000000	0.000000
27	0.000000	0.000000	0.000000
28	0.000000	0.000000	0.000000
29	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000
