3	2.756574
4	0.914534	0.921095
5	0.774697	0.781322	0.784196
6	0.604853	0.606572	0.611240
7	0.573930	0.577174	0.582322
8	0.547687	0.549386	0.553334
9	0.600601	0.601628	0.606457
10	0.627893	0.629074	0.635048
11	0.680562	0.681592	0.689082
12	0.714323	0.714809	0.723242
13	0.755219	0.756079	0.761357
14	0.809234	0.810139	0.815780
15	0.872918	0.873543	0.879932
16	0.902444	0.903258	0.910009
17	0.943209	0.944581	0.950061
18	1.014821	1.015227	1.020236
19	1.083396	1.083667	1.088730
20	1.140434	1.141234	1.145823
21	1.179995	1.180172	1.184795
22	1.250588	1.252530	1.256117
23	1.320166	1.322414	1.327401
24	1.344771	1.345713	1.350241
25	1.408680	1.409102	1.410019
26	1.466140	1.467167	1.471291
27	1.530973	1.532122	1.535195
28	1.570821	1.571214	1.574286
29	1.635018	1.635427	1.638131
30	1.694808	1.695487	1.698376
