3	317.914611
4	316.188663	313.404394
5	261.098256	250.199407	261.281140
6	220.320974	235.890307	239.363731
7	215.181788	200.465611	198.590382
8	149.479802	139.716800	136.749181
9	132.646069	127.304167	133.928211
10	100.011236	89.295584	91.335397
11	82.646489	84.786063	79.430278
12	108.206878	77.318446	76.016393
13	82.268830	65.783740	61.534100
14	58.562481	50.069389	56.353378
15	54.244763	49.901612	50.309478
16	56.441162	41.119676	40.366469
17	46.695551	34.829767	35.952165
18	52.553619	39.629457	34.881279
19	43.922060	31.200102	31.417257
20	39.986068	33.788495	34.036781
21	48.459138	37.860134	32.035189
22	51.518580	33.209920	32.360770
23	44.198175	35.303634	31.598546
24	45.585700	27.981353	30.066677
25	39.829331	29.079882	26.912227
26	42.686099	29.877394	28.003030
27	45.957213	31.242172	27.109323
28	42.439687	25.968394	25.964919
29	44.298402	26.716461	26.573098
30	40.511839	29.464083	25.233494
