3	0.944803
4	0.816559	0.816759
5	0.711514	0.714464	0.716014
6	0.512174	0.517124	0.521624
7	0.418379	0.423329	0.432028
8	0.322734	0.328184	0.340433
9	0.238088	0.243138	0.258687
10	0.166042	0.175091	0.190590
11	0.120244	0.126144	0.141943
12	0.107545	0.113744	0.136443
13	0.073946	0.081646	0.100845
14	0.045448	0.052497	0.074496
15	0.028549	0.035748	0.053497
16	0.006450	0.013599	0.028149
17	0.008650	0.015249	0.032198
18	0.005050	0.013299	0.023799
19	0.002650	0.008950	0.020999
20	0.001050	0.008000	0.021499
21	0.002100	0.007400	0.026249
22	0.001850	0.008350	0.025899
23	0.002200	0.012549	0.026649
24	0.002250	0.010749	0.028149
25	0.002100	0.009050	0.021949
26	0.002800	0.010149	0.024249
27	0.002400	0.009600	0.019549
28	0.002600	0.009750	0.025299
29	0.004100	0.009750	0.021499
30	0.004950	0.010299	0.023599
