3	0.944653
4	0.816409	0.816409
5	0.710814	0.710814	0.710814
6	0.512174	0.512174	0.512174
7	0.417979	0.417979	0.417979
8	0.322734	0.322734	0.322734
9	0.238088	0.238088	0.238088
10	0.166042	0.166042	0.166042
11	0.120244	0.120244	0.120244
12	0.107495	0.107495	0.107495
13	0.073046	0.073046	0.073046
14	0.045198	0.045198	0.045198
15	0.027999	0.027999	0.027999
16	0.006000	0.006000	0.006000
17	0.007350	0.007350	0.007350
18	0.004800	0.004800	0.004800
19	0.000400	0.000400	0.000400
20	0.000000	0.000000	0.000000
21	0.000350	0.000350	0.000350
22	0.000000	0.000000	0.000000
23	0.000000	0.000000	0.000000
24	0.000000	0.000000	0.000000
25	0.000000	0.000000	0.000000
26	0.000000	0.000000	0.000000
27	0.000000	0.000000	0.000000
28	0.000000	0.000000	0.000000
29	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000
