3	0.944653
4	0.816409	0.990800
5	0.710814	0.924004	0.995600
6	0.512174	0.824409	0.954252
7	0.417979	0.708265	0.894305
8	0.322734	0.596470	0.824559
9	0.238088	0.507425	0.704615
10	0.166042	0.381181	0.644668
11	0.120244	0.276936	0.563122
12	0.107495	0.259937	0.479326
13	0.073046	0.198740	0.413379
14	0.045198	0.143793	0.326034
15	0.027999	0.139593	0.287236
16	0.006000	0.123494	0.236088
17	0.007350	0.075196	0.186391
18	0.004800	0.075146	0.166842
19	0.000400	0.046048	0.147843
20	0.000000	0.022899	0.122044
21	0.000350	0.033998	0.121544
22	0.000000	0.024699	0.091345
23	0.000000	0.005100	0.062347
24	0.000000	0.004350	0.058997
25	0.000000	0.000000	0.039048
26	0.000000	0.000700	0.027699
27	0.000000	0.000000	0.029649
28	0.000000	0.000000	0.014249
29	0.000000	0.000000	0.009300
30	0.000000	0.000000	0.005800
