3	2.159420
4	1.206868	1.208186
5	0.602080	0.608300	0.611620
6	0.768576	0.776455	0.783758
7	0.563569	0.568406	0.577113
8	0.608445	0.613381	0.624773
9	0.624057	0.628220	0.641397
10	0.617146	0.623917	0.635864
11	0.648954	0.653336	0.665365
12	0.636583	0.641036	0.657886
13	0.687237	0.692999	0.707796
14	0.730254	0.735687	0.753174
15	0.785229	0.791092	0.805927
16	0.831975	0.838005	0.850550
17	0.890761	0.896730	0.912435
18	0.935678	0.943501	0.953649
19	0.961350	0.967460	0.979368
20	1.021321	1.028476	1.042665
21	1.076357	1.082103	1.103050
22	1.127279	1.134668	1.155110
23	1.203137	1.215747	1.233357
24	1.247444	1.258162	1.280687
25	1.279974	1.288951	1.305950
26	1.363349	1.373472	1.393318
27	1.397785	1.407946	1.422234
28	1.416161	1.426386	1.449141
29	1.474170	1.482581	1.500383
30	1.520852	1.529073	1.549900
