3	156.294091
4	125.269388	63.484072
5	128.725515	61.985352	84.689855
6	113.532373	48.138357	32.371846
7	86.283652	59.580987	39.862796
8	78.326130	50.154248	33.903917
9	69.840124	40.886764	31.890410
10	70.778452	42.240784	32.858612
11	68.960997	43.756582	40.312740
12	66.306444	37.299378	34.443165
13	51.709470	40.307265	27.647704
14	44.270293	36.383774	29.308935
15	46.940242	33.028516	29.682514
16	45.995105	29.219619	26.334100
17	40.562607	25.422792	25.183530
18	48.597688	31.392927	26.069104
19	40.004669	26.469499	23.266936
20	37.262411	29.333733	24.495603
21	44.155634	30.156438	23.585865
22	34.180139	26.855163	23.404884
23	32.917884	27.045501	22.556869
24	37.871189	24.881825	24.185521
25	35.734163	27.588995	22.672626
26	37.131316	24.703274	21.793527
27	38.153695	23.684096	21.931574
28	40.646557	26.053618	22.072587
29	38.519395	24.498798	22.437330
30	40.054886	23.762995	23.250687
