3	0.930603
4	0.768362	0.768462
5	0.647568	0.652217	0.654417
6	0.453377	0.457677	0.462677
7	0.346283	0.350732	0.362582
8	0.268287	0.273336	0.290185
9	0.198740	0.206840	0.219039
10	0.122844	0.129594	0.145693
11	0.076196	0.081846	0.100645
12	0.060847	0.066647	0.085296
13	0.027699	0.034548	0.051297
14	0.019949	0.028999	0.043948
15	0.019799	0.027199	0.041548
16	0.003000	0.009650	0.017899
17	0.002050	0.007150	0.017849
18	0.001300	0.007600	0.017999
19	0.001350	0.009100	0.016549
20	0.002450	0.009750	0.016649
21	0.002250	0.008550	0.021849
22	0.001900	0.007350	0.016299
23	0.002700	0.009400	0.018249
24	0.002500	0.008100	0.017099
25	0.003250	0.010699	0.019399
26	0.003500	0.010849	0.015599
27	0.003300	0.008150	0.015849
28	0.003700	0.008900	0.017399
29	0.004700	0.008300	0.018999
30	0.005600	0.009050	0.016699
