3	1.000000
4	1.000000	1.000000
5	0.949603	0.949603	0.949603
6	0.751462	0.751462	0.751462
7	0.420579	0.420579	0.420579
8	0.327734	0.327734	0.327734
9	0.253737	0.253737	0.253737
10	0.047498	0.047498	0.047698
11	0.013349	0.013349	0.014149
12	0.002950	0.003100	0.003550
13	0.003850	0.004100	0.005650
14	0.001450	0.001150	0.003600
15	0.001050	0.000350	0.002700
16	0.003200	0.000800	0.002550
17	0.000800	0.000750	0.001550
18	0.000650	0.000350	0.001200
19	0.000650	0.001000	0.003050
20	0.000350	0.001100	0.002500
21	0.004700	0.001850	0.002900
22	0.003450	0.002400	0.004450
23	0.005300	0.003750	0.009700
24	0.005200	0.006100	0.012249
25	0.005950	0.005250	0.008000
26	0.004500	0.005350	0.012549
27	0.004050	0.007700	0.012399
28	0.005400	0.009550	0.015399
29	0.004600	0.009650	0.017649
30	0.004400	0.008600	0.028899
