3	inf
4	inf	inf
5	34.633929	34.633929	34.633929
6	8.193724	8.193724	8.193724
7	4.167228	4.167228	4.167228
8	3.783356	3.783356	3.783356
9	3.609741	3.609741	3.609741
10	3.355887	3.355887	3.356592
11	3.644319	3.644319	3.647277
12	4.071006	4.071618	4.073457
13	4.364987	4.366083	4.372888
14	4.738234	4.736810	4.748457
15	4.932583	4.929129	4.940743
16	5.382706	5.369777	5.379198
17	5.601701	5.601421	5.605909
18	5.967881	5.966090	5.971167
19	6.196318	6.198489	6.211234
20	6.696609	6.701637	6.711042
21	6.799216	6.779804	6.786943
22	7.148906	7.141382	7.156087
23	7.702890	7.690906	7.737113
24	7.877067	7.884199	7.933286
25	8.232069	8.226277	8.249080
26	8.463211	8.470443	8.532203
27	8.686596	8.718547	8.760036
28	9.005831	9.043564	9.097293
29	9.130544	9.177100	9.251832
30	9.516296	9.556609	9.756371
